time, temp
2:2a, (19.5,67.2116)
2:3b, (21.375,70.5866)
2:3a, (19.625,67.4366)
2:4b, (21.375,70.5866)
2:4a, (19.687,67.4366)
2:5b, (21.375,70.475)
2:5a, (19.875,67.8866)
2:6b, (21.375,70.5866)
2:6a, (20.062,68.11160000000001)
2:7b, (21.375,70.475)
2:7a, (20.125,68.225)
2:9b, (21.375,70.475)
2:9a, (20.062,68.11160000000001)
2:10b, (21.375,70.475)
2:10a, (20.062,68.11160000000001)
2:11b, (21.375,70.475)
2:11a, (20.125,68.225)
2:12b, (21.375,70.5866)
2:12a, (20.0,68.11160000000001)
2:13b, (21.437,70.7)
2:13a, (19.937,67.8866)
2:14b, (21.437,70.7)
2:14a, (19.875,67.775)
2:15b, (21.437,70.5866)
2:15a, (19.75,67.6616)
2:16b, (21.437,70.5866)
2:16a, (19.687,67.55)
2:17b, (21.437,70.7)
2:17a, (19.625,67.4366)
2:18b, (21.375,70.5866)
2:18a, (19.625,67.4366)
2:19b, (21.375,70.5866)
2:19a, (19.562,67.2116)
2:20b, (21.437,70.5866)
2:20a, (19.5,67.2116)
2:21b, (21.375,70.475)
2:21a, (19.5,67.2116)
2:22b, (21.375,70.5866)
2:22a, (19.687,67.4366)
2:23b, (21.375,70.5866)
2:23a, (19.875,67.775)
2:24b, (21.375,70.5866)
2:24a, (20.062,68.11160000000001)
2:26b, (21.375,70.475)
2:26a, (20.0,68.11160000000001)
2:27b, (21.375,70.475)
2:27a, (20.0,68.0)
2:28b, (21.375,70.475)
2:28a, (20.0,68.11160000000001)
2:29b, (21.375,70.5866)
2:29a, (20.0,68.0)
2:30b, (21.437,70.7)
2:30a, (19.937,67.8866)
2:31b, (21.437,70.7)
2:31a, (19.875,67.775)
2:32b, (21.437,70.7)
2:32a, (19.812,67.6616)
2:33b, (21.437,70.7)
2:33a, (19.687,67.4366)
2:34b, (21.437,70.5866)
2:34a, (19.625,67.4366)
2:35b, (21.375,70.5866)
2:35a, (19.687,67.4366)
2:36b, (21.375,70.5866)
2:36a, (19.562,67.2116)
2:37b, (21.375,70.475)
2:37a, (19.437,67.1)
2:38b, (21.375,70.475)
2:38a, (19.5,67.2116)
2:39b, (21.312,70.475)
2:39a, (19.562,67.2116)
2:40b, (21.312,70.475)
